time,Day,Year,Month,Date,hour,min,sec,timezone,latitude,longitude,speed,truck,svr1,svr2,svr3,svr4,Role,Transfer size,Transfer unit,Bitrate,bitrate_unit,Retransmissions,CWnd,cwnd_unit,Role-RX,Transfer size-RX,Transfer unit-RX,Bitrate-RX,bitrate_unit-RX,send_data
1658291246,,,,,,,,,,,,,14.5,15.8,143.0,26.5,,,,,,,,,,,,,,
1658291247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1658291248,Wed,2022.0,7.0,20.0,14.0,27.0,28.0,AEST,99.0,999.0,-1.0,garbo03,18.3,20.4,151.0,51.4,TX-C,0.3857421875,MBytes,3.24,Mbits/sec,18.0,0.0031640625,MBytes,RX-C,3.86,MBytes,32.4,Mbits/sec,0.0
1658291249,Wed,2022.0,7.0,20.0,14.0,27.0,29.0,AEST,99.0,999.0,-1.0,garbo03,21.6,19.7,144.0,33.5,TX-C,0.5205078125,MBytes,4.37,Mbits/sec,0.0,0.004267578125,MBytes,RX-C,4.41,MBytes,37.0,Mbits/sec,0.0
1658291250,Wed,2022.0,7.0,20.0,14.0,27.0,30.0,AEST,99.0,999.0,-1.0,garbo03,51.6,49.3,188.0,46.6,TX-C,0.763671875,MBytes,6.4,Mbits/sec,0.0,0.00625,MBytes,RX-C,4.41,MBytes,37.0,Mbits/sec,0.0
1658291251,Wed,2022.0,7.0,20.0,14.0,27.0,31.0,AEST,99.0,999.0,-1.0,garbo03,19.7,14.2,150.0,30.8,TX-C,1.17,MBytes,9.84,Mbits/sec,0.0,0.009609375,MBytes,RX-C,3.35,MBytes,28.1,Mbits/sec,0.009538650512695312
1658291252,Wed,2022.0,7.0,20.0,14.0,27.0,32.0,AEST,99.0,999.0,-1.0,garbo03,44.2,47.4,168.0,56.8,TX-C,1.11,MBytes,9.33,Mbits/sec,0.0,0.009111328125,MBytes,RX-C,3.31,MBytes,27.8,Mbits/sec,0.0074214935302734375
1658291253,Wed,2022.0,7.0,20.0,14.0,27.0,33.0,AEST,99.0,999.0,-1.0,garbo03,38.8,36.7,173.0,39.4,TX-C,1.42,MBytes,11.9,Mbits/sec,0.0,0.01162109375,MBytes,RX-C,3.21,MBytes,27.0,Mbits/sec,0.00524139404296875
1658291254,Wed,2022.0,7.0,20.0,14.0,27.0,34.0,AEST,99.0,999.0,-1.0,garbo03,,,,,TX-C,1.48,MBytes,12.4,Mbits/sec,0.0,0.012109375,MBytes,RX-C,3.38,MBytes,28.3,Mbits/sec,0.0076580047607421875
1658291255,Wed,2022.0,7.0,20.0,14.0,27.0,35.0,AEST,99.0,999.0,-1.0,garbo03,13.2,26.4,157.0,49.8,TX-C,1.54,MBytes,13.0,Mbits/sec,0.0,0.0126953125,MBytes,RX-C,3.23,MBytes,27.1,Mbits/sec,0.006923675537109375
1658291256,Wed,2022.0,7.0,20.0,14.0,27.0,36.0,AEST,99.0,999.0,-1.0,garbo03,43.4,41.2,161.0,42.5,TX-C,1.73,MBytes,14.5,Mbits/sec,13.0,0.01416015625,MBytes,RX-C,3.63,MBytes,30.4,Mbits/sec,0.010268211364746094
