time,Day,Year,Month,Date,hour,min,sec,timezone,latitude,longitude,speed,truck,svr1,svr2,svr3,svr4,Role,Transfer size,Transfer unit,Bitrate,bitrate_unit,Retransmissions,CWnd,cwnd_unit,Role-RX,Transfer size-RX,Transfer unit-RX,Bitrate-RX,bitrate_unit-RX,send_data
1657149845,,,,,,,,,,,,,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,
1657149846,Thu,2022.0,7.0,7.0,9.0,24.0,6.0,AEST,99.0,999.0,-1.0,garbo10,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657149847,Thu,2022.0,7.0,7.0,9.0,24.0,7.0,AEST,99.0,999.0,-1.0,garbo10,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657149848,Thu,2022.0,7.0,7.0,9.0,24.0,8.0,AEST,99.0,999.0,-1.0,garbo10,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657149849,Thu,2022.0,7.0,7.0,9.0,24.0,9.0,AEST,99.0,999.0,-1.0,garbo10,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657149850,Thu,2022.0,7.0,7.0,9.0,24.0,10.0,AEST,99.0,999.0,-1.0,garbo10,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657149851,Thu,2022.0,7.0,7.0,9.0,24.0,11.0,AEST,99.0,999.0,-1.0,garbo10,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657149852,Thu,2022.0,7.0,7.0,9.0,24.0,12.0,AEST,99.0,999.0,-1.0,garbo10,,,,,,,,,,,,,,,,,,0.0
1657149853,Thu,2022.0,7.0,7.0,9.0,24.0,13.0,AEST,99.0,999.0,-1.0,garbo10,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657149854,Thu,2022.0,7.0,7.0,9.0,24.0,14.0,AEST,99.0,999.0,-1.0,garbo10,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657149855,Thu,2022.0,7.0,7.0,9.0,24.0,15.0,AEST,99.0,999.0,-1.0,garbo10,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657149856,Thu,2022.0,7.0,7.0,9.0,24.0,16.0,AEST,99.0,999.0,-1.0,garbo10,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657149857,Thu,2022.0,7.0,7.0,9.0,24.0,17.0,AEST,99.0,999.0,-1.0,garbo10,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657149858,Thu,2022.0,7.0,7.0,9.0,24.0,18.0,AEST,99.0,999.0,-1.0,garbo10,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657149859,Thu,2022.0,7.0,7.0,9.0,24.0,19.0,AEST,99.0,999.0,-1.0,garbo10,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657149860,Thu,2022.0,7.0,7.0,9.0,24.0,20.0,AEST,99.0,999.0,-1.0,garbo10,38.7,36.4,29.4,47.2,,,,,,,,,,,,,,0.0
1657149861,Thu,2022.0,7.0,7.0,9.0,24.0,21.0,AEST,99.0,999.0,-1.0,garbo10,22.0,24.3,29.9,46.7,,,,,,,,,,,,,,0.0
1657149862,Thu,2022.0,7.0,7.0,9.0,24.0,22.0,AEST,99.0,999.0,-1.0,garbo10,,,,,,,,,,,,,,,,,,0.0
1657149863,Thu,2022.0,7.0,7.0,9.0,24.0,23.0,AEST,99.0,999.0,-1.0,garbo10,22.6,20.8,25.7,50.2,TX-C,0.328125,MBytes,2.75,Mbits/sec,17.0,0.002685546875,MBytes,RX-C,0.9765625,MBytes,8.19,Mbits/sec,0.0
1657149864,Thu,2022.0,7.0,7.0,9.0,24.0,24.0,AEST,99.0,999.0,-1.0,garbo10,49.4,47.7,46.3,63.3,TX-C,0.4912109375,MBytes,4.12,Mbits/sec,0.0,0.0040234375,MBytes,RX-C,1.07,MBytes,9.01,Mbits/sec,0.005512237548828125
