time,Day,Year,Month,Date,hour,min,sec,timezone,latitude,longitude,speed,truck,svr1,svr2,svr3,svr4,Role,Transfer size,Transfer unit,Bitrate,bitrate_unit,Retransmissions,CWnd,cwnd_unit,Role-RX,Transfer size-RX,Transfer unit-RX,Bitrate-RX,bitrate_unit-RX,send_data
1657683515,Wed,2022.0,7.0,13.0,13.0,38.0,35.0,AEST,99.0,999.0,-1.0,garbo09,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,
1657683516,Wed,2022.0,7.0,13.0,13.0,38.0,36.0,AEST,99.0,999.0,-1.0,garbo09,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657683516,Wed,2022.0,7.0,13.0,13.0,38.0,36.0,AEST,99.0,999.0,-1.0,garbo09,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657683517,Wed,2022.0,7.0,13.0,13.0,38.0,37.0,AEST,99.0,999.0,-1.0,garbo09,,,,,,,,,,,,,,,,,,0.0
1657683518,Wed,2022.0,7.0,13.0,13.0,38.0,38.0,AEST,99.0,999.0,-1.0,garbo09,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657683519,Wed,2022.0,7.0,13.0,13.0,38.0,39.0,AEST,99.0,999.0,-1.0,garbo09,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657683520,Wed,2022.0,7.0,13.0,13.0,38.0,40.0,AEST,99.0,999.0,-1.0,garbo09,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657683521,Wed,2022.0,7.0,13.0,13.0,38.0,41.0,AEST,99.0,999.0,-1.0,garbo09,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657683522,Wed,2022.0,7.0,13.0,13.0,38.0,42.0,AEST,99.0,999.0,-1.0,garbo09,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657683523,Wed,2022.0,7.0,13.0,13.0,38.0,43.0,AEST,99.0,999.0,-1.0,garbo09,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657683524,Wed,2022.0,7.0,13.0,13.0,38.0,44.0,AEST,99.0,999.0,-1.0,garbo09,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657683525,Wed,2022.0,7.0,13.0,13.0,38.0,45.0,AEST,99.0,999.0,-1.0,garbo09,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657683526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1657683527,Wed,2022.0,7.0,13.0,13.0,38.0,47.0,AEST,99.0,999.0,-1.0,garbo09,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657683527,Wed,2022.0,7.0,13.0,13.0,38.0,47.0,AEST,99.0,999.0,-1.0,garbo09,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657683528,Wed,2022.0,7.0,13.0,13.0,38.0,48.0,AEST,99.0,999.0,-1.0,garbo09,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657683529,Wed,2022.0,7.0,13.0,13.0,38.0,49.0,AEST,99.0,999.0,-1.0,garbo09,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657683530,Wed,2022.0,7.0,13.0,13.0,38.0,50.0,AEST,99.0,999.0,-1.0,garbo09,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657683531,Wed,2022.0,7.0,13.0,13.0,38.0,51.0,AEST,99.0,999.0,-1.0,garbo09,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
