time,Day,Year,Month,Date,hour,min,sec,timezone,latitude,longitude,speed,truck,svr1,svr2,svr3,svr4,Role,Transfer size,Transfer unit,Bitrate,bitrate_unit,Retransmissions,CWnd,cwnd_unit,Role-RX,Transfer size-RX,Transfer unit-RX,Bitrate-RX,bitrate_unit-RX,send_data
1657668979,Wed,2022.0,7.0,13.0,9.0,36.0,19.0,AEST,99.0,999.0,-1.0,garbo08,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,
1657668979,Wed,2022.0,7.0,13.0,9.0,36.0,19.0,AEST,99.0,999.0,-1.0,garbo08,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,
1657668979,Wed,2022.0,7.0,13.0,9.0,36.0,19.0,AEST,99.0,999.0,-1.0,garbo08,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,
1657668979,Wed,2022.0,7.0,13.0,9.0,36.0,19.0,AEST,99.0,999.0,-1.0,garbo08,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,
1657668979,Wed,2022.0,7.0,13.0,9.0,36.0,19.0,AEST,99.0,999.0,-1.0,garbo08,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,
1657668979,Wed,2022.0,7.0,13.0,9.0,36.0,19.0,AEST,99.0,999.0,-1.0,garbo08,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,
1657668979,Wed,2022.0,7.0,13.0,9.0,36.0,19.0,AEST,99.0,999.0,-1.0,garbo08,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,
1657668980,Wed,2022.0,7.0,13.0,9.0,36.0,20.0,AEST,99.0,999.0,-1.0,garbo08,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1657668981,Wed,2022.0,7.0,13.0,9.0,36.0,21.0,AEST,99.0,999.0,-1.0,garbo08,144.0,141.0,139.0,152.0,,,,,,,,,,,,,,0.0
1657668982,Wed,2022.0,7.0,13.0,9.0,36.0,22.0,AEST,99.0,999.0,-1.0,garbo08,43.5,40.2,45.4,70.2,,,,,,,,,,,,,,0.0
1657668983,Wed,2022.0,7.0,13.0,9.0,36.0,23.0,AEST,99.0,999.0,-1.0,garbo08,49.9,67.3,57.9,74.1,TX-C,1.74,MBytes,14.6,Mbits/sec,15.0,0.0142578125,MBytes,RX-C,0.9091796875,MBytes,7.63,Mbits/sec,0.0
1657668984,Wed,2022.0,7.0,13.0,9.0,36.0,24.0,AEST,99.0,999.0,-1.0,garbo08,33.0,24.6,23.7,40.3,TX-C,1.61,MBytes,13.5,Mbits/sec,2.0,0.01318359375,MBytes,RX-C,1.13,MBytes,9.49,Mbits/sec,0.0
1657668985,Wed,2022.0,7.0,13.0,9.0,36.0,25.0,AEST,99.0,999.0,-1.0,garbo08,34.4,31.9,24.8,47.7,TX-C,1.61,MBytes,13.5,Mbits/sec,2.0,0.01318359375,MBytes,RX-C,1.25,MBytes,10.5,Mbits/sec,0.0
1657668986,Wed,2022.0,7.0,13.0,9.0,36.0,26.0,AEST,99.0,999.0,-1.0,garbo08,,,,,TX-C,1.91,MBytes,16.1,Mbits/sec,0.0,0.01572265625,MBytes,RX-C,1.32,MBytes,11.1,Mbits/sec,0.0
1657668987,Wed,2022.0,7.0,13.0,9.0,36.0,27.0,AEST,99.0,999.0,-1.0,garbo08,34.6,32.8,49.6,60.7,TX-C,1.24,MBytes,10.4,Mbits/sec,1.0,0.01015625,MBytes,RX-C,1.21,MBytes,10.2,Mbits/sec,0.0
1657668988,Wed,2022.0,7.0,13.0,9.0,36.0,28.0,AEST,99.0,999.0,-1.0,garbo08,34.8,32.3,31.2,54.0,TX-C,1.54,MBytes,13.0,Mbits/sec,0.0,0.0126953125,MBytes,RX-C,1.24,MBytes,10.4,Mbits/sec,0.0
1657668989,Wed,2022.0,7.0,13.0,9.0,36.0,29.0,AEST,99.0,999.0,-1.0,garbo08,27.8,31.6,30.5,52.9,TX-C,1.61,MBytes,13.5,Mbits/sec,1.0,0.01318359375,MBytes,RX-C,1.4,MBytes,11.7,Mbits/sec,0.0
