time,Day,Year,Month,Date,hour,min,sec,timezone,latitude,longitude,speed,truck,svr1,svr2,svr3,svr4,Role,Transfer size,Transfer unit,Bitrate,bitrate_unit,Retransmissions,CWnd,cwnd_unit,Role-RX,Transfer size-RX,Transfer unit-RX,Bitrate-RX,bitrate_unit-RX,send_data
1658170145,,,,,,,,,,,,,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,
1658170146,Tue,2022.0,7.0,19.0,4.0,49.0,6.0,AEST,99.0,999.0,-1.0,garbo06,,,,,,,,,,,,,,,,,,0.0
1658170146,Tue,2022.0,7.0,19.0,4.0,49.0,6.0,AEST,99.0,999.0,-1.0,garbo06,,,,,,,,,,,,,,,,,,0.0
1658170147,Tue,2022.0,7.0,19.0,4.0,49.0,7.0,AEST,99.0,999.0,-1.0,garbo06,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1658170148,Tue,2022.0,7.0,19.0,4.0,49.0,8.0,AEST,99.0,999.0,-1.0,garbo06,31.9,29.5,28.3,33.6,,,,,,,,,,,,,,0.0
1658170149,Tue,2022.0,7.0,19.0,4.0,49.0,9.0,AEST,99.0,999.0,-1.0,garbo06,26.2,23.9,28.6,46.8,TX-C,0.328125,MBytes,2.75,Mbits/sec,16.0,0.002685546875,MBytes,RX-C,2.85,MBytes,23.9,Mbits/sec,0.0
1658170150,Tue,2022.0,7.0,19.0,4.0,49.0,10.0,AEST,99.0,999.0,-1.0,garbo06,28.6,31.1,53.2,80.4,TX-C,0.607421875,MBytes,5.09,Mbits/sec,0.0,0.004970703125,MBytes,RX-C,6.72,MBytes,56.3,Mbits/sec,0.0
1658170151,,,,,,,,,,,,,43.3,41.2,39.8,45.4,TX-C,0.7421875,MBytes,6.23,Mbits/sec,0.0,0.006083984375,MBytes,RX-C,9.54,MBytes,80.0,Mbits/sec,0.0
1658170152,Tue,2022.0,7.0,19.0,4.0,49.0,12.0,AEST,99.0,999.0,-1.0,garbo06,27.5,25.6,36.1,46.9,TX-C,0.9267578125,MBytes,7.77,Mbits/sec,0.0,0.007587890625,MBytes,RX-C,9.89,MBytes,83.0,Mbits/sec,0.0
1658170152,Tue,2022.0,7.0,19.0,4.0,49.0,12.0,AEST,99.0,999.0,-1.0,garbo06,27.5,25.6,36.1,46.9,TX-C,0.9267578125,MBytes,7.77,Mbits/sec,0.0,0.007587890625,MBytes,RX-C,9.89,MBytes,83.0,Mbits/sec,0.0
1658170153,Tue,2022.0,7.0,19.0,4.0,49.0,13.0,AEST,99.0,999.0,-1.0,garbo06,,,,,TX-C,1.11,MBytes,9.33,Mbits/sec,0.0,0.009111328125,MBytes,RX-C,9.87,MBytes,82.8,Mbits/sec,0.0
1658170154,Tue,2022.0,7.0,19.0,4.0,49.0,14.0,AEST,99.0,999.0,-1.0,garbo06,31.8,28.8,28.5,46.3,TX-C,1.48,MBytes,12.4,Mbits/sec,0.0,0.012109375,MBytes,RX-C,9.86,MBytes,82.7,Mbits/sec,0.0
1658170155,Tue,2022.0,7.0,19.0,4.0,49.0,15.0,AEST,99.0,999.0,-1.0,garbo06,37.2,33.8,33.3,56.3,TX-C,1.36,MBytes,11.4,Mbits/sec,0.0,0.0111328125,MBytes,RX-C,9.65,MBytes,81.0,Mbits/sec,0.0
1658170156,,,,,,,,,,,,,32.0,48.4,47.2,76.3,TX-C,1.79,MBytes,15.0,Mbits/sec,0.0,0.0146484375,MBytes,RX-C,9.7,MBytes,81.4,Mbits/sec,0.0
1658170157,Tue,2022.0,7.0,19.0,4.0,49.0,17.0,AEST,99.0,999.0,-1.0,garbo06,38.3,31.2,40.7,64.5,TX-C,2.78,MBytes,23.3,Mbits/sec,0.0,0.02275390625,MBytes,RX-C,9.67,MBytes,81.1,Mbits/sec,0.0
1658170158,Tue,2022.0,7.0,19.0,4.0,49.0,18.0,AEST,99.0,999.0,-1.0,garbo06,40.1,37.3,36.4,79.4,TX-C,2.29,MBytes,19.2,Mbits/sec,1.0,0.01875,MBytes,RX-C,9.76,MBytes,81.9,Mbits/sec,0.0
1658170159,Tue,2022.0,7.0,19.0,4.0,49.0,19.0,AEST,99.0,999.0,-1.0,garbo06,39.9,42.1,33.7,57.4,TX-C,2.66,MBytes,22.3,Mbits/sec,0.0,0.02177734375,MBytes,RX-C,9.94,MBytes,83.4,Mbits/sec,0.0
1658170160,Tue,2022.0,7.0,19.0,4.0,49.0,20.0,AEST,99.0,999.0,-1.0,garbo06,,,,,TX-C,3.15,MBytes,26.4,Mbits/sec,0.0,0.02578125,MBytes,RX-C,9.76,MBytes,81.8,Mbits/sec,0.005400657653808594
1658170161,Tue,2022.0,7.0,19.0,4.0,49.0,21.0,AEST,99.0,999.0,-1.0,garbo06,25.8,55.3,55.1,76.5,TX-C,2.78,MBytes,23.3,Mbits/sec,0.0,0.02275390625,MBytes,RX-C,9.89,MBytes,83.0,Mbits/sec,0.03049182891845703
1658170162,Tue,2022.0,7.0,19.0,4.0,49.0,22.0,AEST,99.0,999.0,-1.0,garbo06,78.0,75.7,74.4,91.3,TX-C,2.22,MBytes,18.7,Mbits/sec,0.0,0.01826171875,MBytes,RX-C,9.84,MBytes,82.6,Mbits/sec,0.06643295288085938
1658170163,Tue,2022.0,7.0,19.0,4.0,49.0,23.0,AEST,99.0,999.0,-1.0,garbo06,63.6,60.5,59.3,82.1,TX-C,1.91,MBytes,16.1,Mbits/sec,6.0,0.01572265625,MBytes,RX-C,9.84,MBytes,82.5,Mbits/sec,0.05532646179199219
1658170164,Tue,2022.0,7.0,19.0,4.0,49.0,24.0,AEST,99.0,999.0,-1.0,garbo06,88.0,86.3,84.9,107.0,TX-C,1.73,MBytes,14.5,Mbits/sec,0.0,0.01416015625,MBytes,RX-C,9.78,MBytes,82.1,Mbits/sec,0.05507469177246094
1658170165,Tue,2022.0,7.0,19.0,4.0,49.0,25.0,AEST,99.0,999.0,-1.0,garbo06,91.4,89.2,69.1,101.0,TX-C,1.79,MBytes,15.0,Mbits/sec,2.0,0.0146484375,MBytes,RX-C,9.77,MBytes,82.0,Mbits/sec,0.061450958251953125
1658170166,Tue,2022.0,7.0,19.0,4.0,49.0,26.0,AEST,99.0,999.0,-1.0,garbo06,79.4,88.8,87.2,104.0,TX-C,1.73,MBytes,14.5,Mbits/sec,0.0,0.01416015625,MBytes,RX-C,10.0,MBytes,84.0,Mbits/sec,0.060047149658203125
1658170167,Tue,2022.0,7.0,19.0,4.0,49.0,27.0,AEST,99.0,999.0,-1.0,garbo06,74.8,72.8,71.4,89.5,TX-C,1.3,MBytes,10.9,Mbits/sec,0.0,0.01064453125,MBytes,RX-C,9.8,MBytes,82.2,Mbits/sec,0.057781219482421875
1658170168,Tue,2022.0,7.0,19.0,4.0,49.0,28.0,AEST,99.0,999.0,-1.0,garbo06,,,,,TX-C,1.73,MBytes,14.5,Mbits/sec,0.0,0.01416015625,MBytes,RX-C,9.92,MBytes,83.2,Mbits/sec,0.06458663940429688
1658170169,Tue,2022.0,7.0,19.0,4.0,49.0,29.0,AEST,99.0,999.0,-1.0,garbo06,58.2,55.5,54.3,71.4,TX-C,1.36,MBytes,11.4,Mbits/sec,1.0,0.0111328125,MBytes,RX-C,9.87,MBytes,82.8,Mbits/sec,0.059040069580078125
1658170170,Tue,2022.0,7.0,19.0,4.0,49.0,30.0,AEST,99.0,999.0,-1.0,garbo06,83.2,81.4,80.0,92.4,TX-C,1.73,MBytes,14.5,Mbits/sec,0.0,0.01416015625,MBytes,RX-C,9.91,MBytes,83.2,Mbits/sec,0.05463409423828125
1658170171,Tue,2022.0,7.0,19.0,4.0,49.0,31.0,AEST,99.0,999.0,-1.0,garbo06,75.1,72.7,70.9,94.2,TX-C,1.3,MBytes,10.9,Mbits/sec,0.0,0.01064453125,MBytes,RX-C,9.91,MBytes,83.2,Mbits/sec,0.0653390884399414
1658170172,Tue,2022.0,7.0,19.0,4.0,49.0,32.0,AEST,99.0,999.0,-1.0,garbo06,64.5,62.6,61.0,77.2,TX-C,1.73,MBytes,14.5,Mbits/sec,0.0,0.01416015625,MBytes,RX-C,9.89,MBytes,83.0,Mbits/sec,0.05239582061767578
1658170173,Tue,2022.0,7.0,19.0,4.0,49.0,33.0,AEST,99.0,999.0,-1.0,garbo06,75.2,73.2,71.8,83.7,TX-C,1.73,MBytes,14.5,Mbits/sec,0.0,0.01416015625,MBytes,RX-C,9.9,MBytes,83.0,Mbits/sec,0.05715179443359375
1658170174,Tue,2022.0,7.0,19.0,4.0,49.0,34.0,AEST,99.0,999.0,-1.0,garbo06,44.2,47.4,46.0,62.3,TX-C,2.16,MBytes,18.1,Mbits/sec,0.0,0.01767578125,MBytes,RX-C,9.89,MBytes,83.0,Mbits/sec,0.023288726806640625
1658170175,Tue,2022.0,7.0,19.0,4.0,49.0,35.0,AEST,99.0,999.0,-1.0,garbo06,48.8,45.4,44.7,68.7,TX-C,2.29,MBytes,19.2,Mbits/sec,0.0,0.01875,MBytes,RX-C,9.95,MBytes,83.5,Mbits/sec,0.0
1658170176,Tue,2022.0,7.0,19.0,4.0,49.0,36.0,AEST,99.0,999.0,-1.0,garbo06,,,,,TX-C,2.78,MBytes,23.3,Mbits/sec,0.0,0.02275390625,MBytes,RX-C,9.97,MBytes,83.7,Mbits/sec,0.0
1658170177,Tue,2022.0,7.0,19.0,4.0,49.0,37.0,AEST,99.0,999.0,-1.0,garbo06,46.1,43.5,41.8,58.8,TX-C,2.59,MBytes,21.8,Mbits/sec,0.0,0.0212890625,MBytes,RX-C,10.0,MBytes,84.1,Mbits/sec,0.0
1658170178,Tue,2022.0,7.0,19.0,4.0,49.0,38.0,AEST,99.0,999.0,-1.0,garbo06,30.2,45.5,44.0,60.9,TX-C,3.27,MBytes,27.5,Mbits/sec,0.0,0.02685546875,MBytes,RX-C,9.97,MBytes,83.6,Mbits/sec,0.0
1658170179,Tue,2022.0,7.0,19.0,4.0,49.0,39.0,AEST,99.0,999.0,-1.0,garbo06,38.5,34.5,32.1,65.6,TX-C,3.83,MBytes,32.1,Mbits/sec,0.0,0.03134765625,MBytes,RX-C,9.91,MBytes,83.1,Mbits/sec,0.0
1658170180,Tue,2022.0,7.0,19.0,4.0,49.0,40.0,AEST,99.0,999.0,-1.0,garbo06,69.8,68.0,66.4,84.2,TX-C,4.57,MBytes,38.3,Mbits/sec,0.0,0.03740234375,MBytes,RX-C,10.0,MBytes,83.9,Mbits/sec,0.009874343872070312
1658170181,Tue,2022.0,7.0,19.0,4.0,49.0,41.0,AEST,99.0,999.0,-1.0,garbo06,50.8,43.0,41.3,95.5,TX-C,5.56,MBytes,46.6,Mbits/sec,0.0,0.0455078125,MBytes,RX-C,9.76,MBytes,81.9,Mbits/sec,0.029909133911132812
1658170182,Tue,2022.0,7.0,19.0,4.0,49.0,42.0,AEST,99.0,999.0,-1.0,garbo06,52.4,49.3,48.5,66.2,TX-C,2.78,MBytes,23.3,Mbits/sec,15.0,0.02275390625,MBytes,RX-C,9.88,MBytes,82.8,Mbits/sec,0.04009437561035156
1658170183,Tue,2022.0,7.0,19.0,4.0,49.0,43.0,AEST,99.0,999.0,-1.0,garbo06,,,,,TX-C,3.71,MBytes,31.1,Mbits/sec,0.0,0.03037109375,MBytes,RX-C,10.1,MBytes,84.5,Mbits/sec,0.03682136535644531
