time,Day,Year,Month,Date,hour,min,sec,timezone,latitude,longitude,speed,truck,svr1,svr2,svr3,svr4,Role,Transfer size,Transfer unit,Bitrate,bitrate_unit,Retransmissions,CWnd,cwnd_unit,Role-RX,Transfer size-RX,Transfer unit-RX,Bitrate-RX,bitrate_unit-RX,send_data
1658205877,,,,,,,,,,,,,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,
1658205878,Tue,2022.0,7.0,19.0,14.0,44.0,38.0,AEST,-37.712717,144.852607,0.225944,garbo08,,,,,,,,,,,,,,,,,,
1658205879,Tue,2022.0,7.0,19.0,14.0,44.0,39.0,AEST,-37.712718,144.852608,0.105564,garbo08,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1658205879,Tue,2022.0,7.0,19.0,14.0,44.0,39.0,AEST,99.0,999.0,-1.0,garbo08,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1658205880,Tue,2022.0,7.0,19.0,14.0,44.0,40.0,AEST,-37.712718,144.85261,0.127788,garbo08,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1658205881,Tue,2022.0,7.0,19.0,14.0,44.0,41.0,AEST,-37.712718,144.85261,0.053708,garbo08,20.4,22.8,27.7,39.5,,,,,,,,,,,,,,0.0
1658205882,Tue,2022.0,7.0,19.0,14.0,44.0,42.0,AEST,-37.712718,144.85261,0.220388,garbo08,26.2,29.0,46.0,57.2,,,,,,,,,,,,,,0.0
1658205883,Tue,2022.0,7.0,19.0,14.0,44.0,43.0,AEST,-37.712718,144.852611,0.098156,garbo08,29.8,45.8,44.8,69.1,TX-C,1.36,MBytes,11.4,Mbits/sec,12.0,0.0111328125,MBytes,RX-C,2.49,MBytes,20.9,Mbits/sec,0.0
1658205884,,,,,,,,,,,,,,,,,TX-C,1.79,MBytes,15.0,Mbits/sec,0.0,0.0146484375,MBytes,RX-C,4.73,MBytes,39.6,Mbits/sec,0.0
1658205885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1658205886,Tue,2022.0,7.0,19.0,14.0,44.0,46.0,AEST,-37.712718,144.852612,0.235204,garbo08,167.0,152.0,151.0,174.0,TX-C,1.73,MBytes,14.5,Mbits/sec,0.0,0.01416015625,MBytes,RX-C,9.24,MBytes,77.5,Mbits/sec,0.0
1658205887,Tue,2022.0,7.0,19.0,14.0,44.0,47.0,AEST,-37.712717,144.852614,0.116676,garbo08,125.0,122.0,121.0,145.0,TX-C,2.53,MBytes,21.2,Mbits/sec,0.0,0.020703125,MBytes,RX-C,8.91,MBytes,74.7,Mbits/sec,0.0
1658205888,Tue,2022.0,7.0,19.0,14.0,44.0,48.0,AEST,-37.712717,144.852615,0.05556,garbo08,170.0,168.0,167.0,177.0,TX-C,2.59,MBytes,21.8,Mbits/sec,0.0,0.0212890625,MBytes,RX-C,8.2,MBytes,68.8,Mbits/sec,0.0
1658205889,Tue,2022.0,7.0,19.0,14.0,44.0,49.0,AEST,-37.712718,144.852615,0.192608,garbo08,226.0,223.0,222.0,221.0,TX-C,2.1,MBytes,17.6,Mbits/sec,0.0,0.0171875,MBytes,RX-C,8.01,MBytes,67.2,Mbits/sec,0.0
1658205890,Tue,2022.0,7.0,19.0,14.0,44.0,50.0,AEST,-37.712718,144.852616,0.100008,garbo08,250.0,248.0,232.0,247.0,TX-C,2.41,MBytes,20.2,Mbits/sec,0.0,0.0197265625,MBytes,RX-C,8.37,MBytes,70.2,Mbits/sec,0.0
1658205891,Tue,2022.0,7.0,19.0,14.0,44.0,51.0,AEST,-37.712718,144.852617,0.327804,garbo08,,,,,TX-C,2.5,MBytes,21.0,Mbits/sec,0.0,0.0205078125,MBytes,RX-C,9.8,MBytes,82.2,Mbits/sec,0.0
1658205892,Tue,2022.0,7.0,19.0,14.0,44.0,52.0,AEST,-37.712719,144.852618,0.12038,garbo08,215.0,211.0,210.0,1000.0,TX-C,2.5,MBytes,21.0,Mbits/sec,6.0,0.0205078125,MBytes,RX-C,9.69,MBytes,81.2,Mbits/sec,0.0
1658205893,Tue,2022.0,7.0,19.0,14.0,44.0,53.0,AEST,-37.71272,144.852617,0.19446,garbo08,176.0,167.0,166.0,171.0,TX-C,2.5,MBytes,21.0,Mbits/sec,0.0,0.0205078125,MBytes,RX-C,9.67,MBytes,81.1,Mbits/sec,0.0
1658205894,Tue,2022.0,7.0,19.0,14.0,44.0,54.0,AEST,-37.712721,144.852618,0.0463,garbo08,316.0,326.0,324.0,346.0,TX-C,2.5,MBytes,21.0,Mbits/sec,0.0,0.0205078125,MBytes,RX-C,9.77,MBytes,82.0,Mbits/sec,0.0
1658205895,Tue,2022.0,7.0,19.0,14.0,44.0,55.0,AEST,-37.712721,144.852619,0.107416,garbo08,942.0,932.0,928.0,956.0,TX-C,1.25,MBytes,10.5,Mbits/sec,0.0,0.01025390625,MBytes,RX-C,8.87,MBytes,74.4,Mbits/sec,0.0
1658205896,Tue,2022.0,7.0,19.0,14.0,44.0,56.0,AEST,-37.71272,144.852619,0.103712,garbo08,197.0,194.0,193.0,193.0,TX-C,1.25,MBytes,10.5,Mbits/sec,1.0,0.01025390625,MBytes,RX-C,2.22,MBytes,18.6,Mbits/sec,0.0
1658205897,Tue,2022.0,7.0,19.0,14.0,44.0,57.0,AEST,-37.712721,144.852621,0.068524,garbo08,306.0,303.0,302.0,319.0,TX-C,2.5,MBytes,21.0,Mbits/sec,0.0,0.0205078125,MBytes,RX-C,8.58,MBytes,72.0,Mbits/sec,0.0
1658205898,Tue,2022.0,7.0,19.0,14.0,44.0,58.0,AEST,-37.71272,144.85262,0.00926,garbo08,,,,,TX-C,1.25,MBytes,10.5,Mbits/sec,0.0,0.01025390625,MBytes,RX-C,7.95,MBytes,66.7,Mbits/sec,7.05718994140625e-05
1658205899,Tue,2022.0,7.0,19.0,14.0,44.0,59.0,AEST,-37.712719,144.85262,0.096304,garbo08,320.0,318.0,316.0,326.0,TX-C,2.5,MBytes,21.0,Mbits/sec,0.0,0.0205078125,MBytes,RX-C,9.13,MBytes,76.6,Mbits/sec,0.006663322448730469
1658205900,Tue,2022.0,7.0,19.0,14.0,45.0,0.0,AEST,-37.712719,144.852619,0.059264,garbo08,309.0,307.0,305.0,319.0,TX-C,1.25,MBytes,10.5,Mbits/sec,0.0,0.01025390625,MBytes,RX-C,6.7,MBytes,56.2,Mbits/sec,0.0025730133056640625
1658205901,Tue,2022.0,7.0,19.0,14.0,45.0,1.0,AEST,-37.712718,144.85262,0.029632,garbo08,261.0,258.0,257.0,292.0,TX-C,2.5,MBytes,21.0,Mbits/sec,0.0,0.0205078125,MBytes,RX-C,6.28,MBytes,52.7,Mbits/sec,0.0027256011962890625
1658205902,Tue,2022.0,7.0,19.0,14.0,45.0,2.0,AEST,-37.712718,144.852619,0.251872,garbo08,477.0,474.0,473.0,475.0,TX-C,1.25,MBytes,10.5,Mbits/sec,0.0,0.01025390625,MBytes,RX-C,5.7,MBytes,47.8,Mbits/sec,0.000881195068359375
1658205903,Tue,2022.0,7.0,19.0,14.0,45.0,3.0,AEST,-37.712718,144.852619,0.124084,garbo08,380.0,339.0,338.0,378.0,TX-C,2.5,MBytes,21.0,Mbits/sec,0.0,0.0205078125,MBytes,RX-C,6.98,MBytes,58.6,Mbits/sec,0.001007080078125
1658205904,Tue,2022.0,7.0,19.0,14.0,45.0,4.0,AEST,-37.712718,144.852618,0.090748,garbo08,250.0,247.0,245.0,244.0,TX-C,1.25,MBytes,10.5,Mbits/sec,0.0,0.01025390625,MBytes,RX-C,4.32,MBytes,36.2,Mbits/sec,0.0025997161865234375
1658205905,Tue,2022.0,7.0,19.0,14.0,45.0,5.0,AEST,-37.712718,144.852619,0.0463,garbo08,282.0,279.0,279.0,290.0,TX-C,2.5,MBytes,21.0,Mbits/sec,0.0,0.0205078125,MBytes,RX-C,4.41,MBytes,37.0,Mbits/sec,0.0004405975341796875
1658205906,Tue,2022.0,7.0,19.0,14.0,45.0,6.0,AEST,-37.712719,144.85262,0.08334,garbo08,321.0,333.0,374.0,386.0,TX-C,1.25,MBytes,10.5,Mbits/sec,0.0,0.01025390625,MBytes,RX-C,5.74,MBytes,48.1,Mbits/sec,0.0
1658205907,Tue,2022.0,7.0,19.0,14.0,45.0,7.0,AEST,-37.712719,144.852621,0.072228,garbo08,,,,,TX-C,2.5,MBytes,21.0,Mbits/sec,0.0,0.0205078125,MBytes,RX-C,6.03,MBytes,50.6,Mbits/sec,0.0013217926025390625
1658205908,Tue,2022.0,7.0,19.0,14.0,45.0,8.0,AEST,-37.71272,144.852622,0.25002,garbo08,495.0,516.0,521.0,555.0,TX-C,1.25,MBytes,10.5,Mbits/sec,0.0,0.01025390625,MBytes,RX-C,4.21,MBytes,35.3,Mbits/sec,0.0026350021362304688
1658205909,Tue,2022.0,7.0,19.0,14.0,45.0,9.0,AEST,-37.71272,144.852623,0.309284,garbo08,286.0,284.0,282.0,350.0,TX-C,2.5,MBytes,21.0,Mbits/sec,0.0,0.0205078125,MBytes,RX-C,5.44,MBytes,45.6,Mbits/sec,0.0006570816040039062
