,Year,Month,Date,truck,Upload speed (Mbits/sec),Download speed (MBits/sec),Download speed (MBytes),Upload size (MBytes),Upload throughput (MBytes),speed,Response time from CloudflareDNS (ms),Response time from GoogleDNS (ms),Response time from OptusDNS (ms),Response time from EC2DNS (ms)
0,2022.0,7.0,18.0,garbo0,,,,,,-1.0,147.0,144.0,143.0,165.0
0,2022.0,7.0,6.0,garbo01,9.513246143002585,13.378149958976575,1.594900623733505,1.1326183897525257,0.006195120145296917,15.619577998045882,221.21147564338236,220.29751286764704,220.01760983455884,239.4674494485294
0,2022.0,7.0,7.0,garbo01,0.338,0.508,0.06048082386363636,0.04026988636363636,0.0010486296665521216,0.2915516705882353,713.6396103896104,714.7168831168831,714.1862987012987,720.1136363636364
0,2022.0,7.0,11.0,garbo01,9.824476412402511,13.518618106475591,1.6115499999256944,1.1698028558647993,0.004921434506445401,13.850360640110523,208.65516644186673,208.60523388184515,207.54937361748046,222.81382249797682
0,2022.0,7.0,12.0,garbo01,6.717183315751035,10.769897428049937,1.2838666030523462,0.8000392384286497,0.003879731479433803,11.994312918053986,334.45652379377157,334.047637162705,333.4537120173905,347.16159444260666
0,2022.0,7.0,13.0,garbo01,10.483651034482758,26.399365096982763,3.147037384159483,1.2483102640086206,0.004446223678799451,15.69147868121974,158.479776861147,157.86961236457608,157.37229947321342,175.30562568333167
0,2022.0,7.0,14.0,garbo01,10.941058250174054,12.02875525698393,1.4339828379735728,1.3027058119633326,0.003443559283738575,16.490716084423664,309.37299244886736,309.0892343851578,308.742978946842,322.29584937740657
0,2022.0,7.0,15.0,garbo01,8.947763036242604,22.422294882147973,2.6729632586417114,1.0652787681444158,0.002733735654020185,13.210610663378544,215.84459513191123,215.58343237870076,214.68559454086292,229.16941593681156
0,2022.0,7.0,18.0,garbo01,9.954046112549133,14.716011829415537,1.754266430742474,1.186173530222414,0.0034775965742088527,12.265087986188096,223.89698253298437,223.7375482078949,222.82733347577584,239.3782970995139
0,2022.0,7.0,19.0,garbo01,15.62532130480639,26.227713195791587,3.1265154875720396,1.860547623938244,0.0038412220821275804,11.214700768747461,130.05491667386235,130.57465331145843,129.51800492185475,144.8067524393403
0,2022.0,7.0,20.0,garbo01,10.14955135158589,13.323233647715808,1.5883199646205308,1.2084254085401571,0.004732174490641057,16.07649313690786,234.3027567512275,234.1065159574468,232.2456106792144,251.1418934124386
0,2022.0,7.0,21.0,garbo01,8.141769464105156,11.886722254885587,1.41700125863667,0.969506607654437,0.003283641885002932,14.665290454245369,391.3922509225092,391.3604358521846,390.424150489331,404.5698486550083
0,2022.0,7.0,22.0,garbo01,12.329355170256502,22.743542083005153,2.711248399235264,1.4679309652616408,0.004339790804771693,12.263625600275494,202.93472701584417,202.7057523463518,201.28688010899182,220.269083661318
0,2022.0,7.0,6.0,garbo02,4.148709987865601,6.804328941328932,0.8111269290960947,0.4941330573454957,0.00528671543627257,16.151876809819633,574.0488402105052,574.3635574699159,573.7437321087388,583.1491737337848
0,2022.0,7.0,7.0,garbo02,6.257246946070152,8.406473831439282,1.0021536114629979,0.7451568483885856,0.00023173965240141087,18.32914891126514,276.86368444209785,277.08880543822596,276.1568457409363,290.2539290742696
0,2022.0,7.0,8.0,garbo02,7.39295965467134,11.595934879638682,1.3823450981629588,0.8805920144082827,0.004863172822369541,14.071045991269004,372.771211358888,372.67948961753297,371.7985012578348,385.2343793970921
0,2022.0,7.0,21.0,garbo02,4.538148969072164,12.923320130275451,1.5405915889779316,0.5406705782860824,0.005016606409258967,25.389257212658105,472.7422430861939,473.090957172065,472.2325411600129,483.25055418056604
0,2022.0,7.0,22.0,garbo02,5.760294975104822,12.406472913077614,1.4789692023012184,0.6860000252388563,0.004913731266252273,20.97587289852994,510.4750623416785,510.2577343158864,509.66114517880055,519.9452544659013
0,2022.0,7.0,6.0,garbo03,7.679444350687706,12.84048924536959,1.530723529725867,0.9148550821133238,0.005163560768879594,12.88355030889768,329.10380812005894,328.6462369913797,420.9895037741748,342.7066282549466
0,2022.0,7.0,7.0,garbo03,13.511340579710145,17.246020667034646,2.0559251027867416,1.6088684966598732,0.0056841551935166755,3.714444422902494,210.82655183620412,210.2519174520637,317.7341566460839,229.58020799480013
0,2022.0,7.0,8.0,garbo03,10.448493959487692,14.782569245546256,1.7622212348277546,1.243926845719979,0.006221273838119381,11.65701867912719,184.6740477487741,184.97454306800734,298.5845757590767,203.86797761157067
0,2022.0,7.0,11.0,garbo03,8.277727272727274,19.035454545454545,2.269090909090909,0.9870401278409091,0.0028442875031501873,-1.0,588.0042016806723,588.9478991596638,641.0840336134454,597.320168067227
0,2022.0,7.0,12.0,garbo03,23.531119402985077,31.464104477611937,3.750555037313433,2.8051332206156716,0.0024700625013090362,-0.27380149568221074,378.0903320683112,377.3079127134725,457.04459203036055,385.96660341555975
0,2022.0,7.0,14.0,garbo03,15.97538860103627,14.363659572191894,1.7122228470808663,1.9022875705495927,0.003261862730066891,27.206356554557125,140.14192296383416,139.7792472802117,254.59453102028814,156.27271390767422
0,2022.0,7.0,15.0,garbo03,11.857276667256324,19.779721703872667,2.3579428645292047,1.4124548169251947,0.0048345885543383815,15.253561391070603,189.03002893937202,189.70706699464623,297.0888921043747,205.8070177977138
0,2022.0,7.0,18.0,garbo03,22.393176265270508,54.1261780104712,6.45195462478185,2.6695896733202447,0.0030650483206315906,0.5239502740524781,176.70058745874587,175.33386798679868,281.44488448844885,188.09887788778877
