,Year,Month,Date,truck,hour,Upload speed (Mbits/sec),Download speed (MBits/sec),Download speed (MBytes),Upload size (MBytes),Upload throughput (MBytes),speed,Response time from CloudflareDNS (ms),Response time from GoogleDNS (ms),Response time from OptusDNS (ms),Response time from EC2DNS (ms)
0,2022.0,7.0,18.0,garbo0,14.0,,,,,,-1.0,147.0,144.0,143.0,165.0
0,2022.0,7.0,6.0,garbo01,5.0,17.239035087719298,6.321315789473684,0.7535721628289473,2.0554646381578947,0.004402961174066883,1.4177741595092024,335.9597222222222,336.4826388888889,335.28333333333336,350.74791666666664
1,2022.0,7.0,6.0,garbo01,6.0,10.417063781961225,19.662050578199633,2.343942969189028,1.240653405099747,0.006393670030911634,19.085101879179547,199.4555996035679,198.70898579451602,198.35493888338289,219.40003303600926
2,2022.0,7.0,6.0,garbo01,7.0,13.56648451730419,16.564741955069824,1.974708027379326,1.6150576806314512,0.004249012245868391,4.101786261080753,40.56946320654106,39.98467827941699,39.59921791681479,62.716708140774976
3,2022.0,7.0,6.0,garbo01,8.0,9.875,12.420224692416028,1.4805831639296343,1.1755952380952381,0.004652504207325586,4.554059480725623,180.95001658374795,180.12490878938638,179.6750248756219,199.58892205638475
4,2022.0,7.0,6.0,garbo01,9.0,9.151591289782244,12.754647183399637,1.5204575776015494,1.0894751535455054,0.006116514562695163,25.719496036850924,166.55055610075237,165.86052338894342,165.64270853778214,182.99803729146223
5,2022.0,7.0,6.0,garbo01,10.0,9.4201536643026,8.92440682485594,1.0643056392444223,1.12145390070922,0.007292611097331263,13.242332548463358,232.81065316101993,230.73638840377228,230.1443870066364,251.7976947258121
6,2022.0,7.0,6.0,garbo01,11.0,8.45243757431629,13.415801350234098,1.599532466348655,1.006242568370987,0.008244203755744955,9.400993215219977,313.7920876015542,312.9942423172024,312.6744966442953,331.78194984104556
7,2022.0,7.0,6.0,garbo01,12.0,4.719698660714286,9.726725725446428,1.1595763288225445,0.5618722098214286,0.006319966167211502,21.36028969754464,444.07892388451444,443.4656430446194,443.5990419947506,457.95147637795276
8,2022.0,7.0,6.0,garbo01,13.0,12.732063773250664,14.784617609610276,1.762398693534101,1.5157218777679362,0.006743220759240538,50.31501688928255,87.48991683991684,86.04043659043658,86.51213097713098,106.61621621621622
0,2022.0,7.0,7.0,garbo01,5.0,0.338,0.508,0.06048082386363636,0.04026988636363636,0.0010486296665521216,0.2915516705882353,713.6396103896104,714.7168831168831,714.1862987012987,720.1136363636364
0,2022.0,7.0,11.0,garbo01,5.0,13.81618115942029,14.81419436424366,1.7659487233922102,1.6453834635416664,0.0057925238806125386,27.187297482983347,46.5698224852071,46.54420118343195,44.9918089602705,62.5658495350803
1,2022.0,7.0,11.0,garbo01,6.0,14.11867088607595,12.49616190709508,1.4896789536734032,1.6808112773302646,0.006045211445201484,4.996151678941311,56.955136409565505,56.91066015493432,55.61557426743011,72.66015493432133
2,2022.0,7.0,11.0,garbo01,7.0,13.374255199550309,12.784330376747823,1.524113746201342,1.5921866216975828,0.004526564215863222,5.607767621135469,33.90510351626684,33.70166283273086,32.50599408478475,50.05241537955965
3,2022.0,7.0,11.0,garbo01,8.0,9.405926616915423,13.307488448868936,1.586318268277752,1.1205628109452737,0.003134423761839669,28.04571105178366,398.6604557640751,399.1117158176944,398.3866454423592,409.8701742627346
4,2022.0,7.0,11.0,garbo01,9.0,7.14695446481372,17.118885390486398,2.040774218865501,0.8508279124778237,0.00492060586307822,6.056322435245417,243.60558333333333,243.93802083333333,242.1538263888889,257.7871527777778
5,2022.0,7.0,11.0,garbo01,10.0,6.610854300760679,16.41615214375183,1.956887242745209,0.7870099473376243,0.005526858787916043,9.526259018139264,333.78556133056134,333.4402875952876,332.70378031878033,348.00904365904364
