Month,Date,Rainfall (mm),Rainfall rank,9am cloud amount (oktas),Cloud Rank,3pm cloud amount (oktas),Cloud Rank,Sunshine (hours),Direction of maximum wind gust,Speed of maximum wind gust (km/h),Time of maximum wind gust,Wind Rank,Minimum temperature (°C),Maximum temperature (°C),Numerical data - Rain,Numerical data - Cloud,Numerical data - Wind
July,14/7/2022,1,light rainfall,7,Cloudly,7,Cloudly,1.1,SW,22,11:13,Light wind,4.7,11.7,1,2,1
July,15/7/2022,0,no rainfall,7,Cloudly,7,Cloudly,3.1,N,57,23:17,Heavy wind,5.9,14.3,0,2,2
July,16/7/2022,0,no rainfall,7,Cloudly,7,Cloudly,2.4,NNE,83,16:03,Heavy wind,7.3,12.5,0,2,2
July,17/7/2022,0,no rainfall,6,Cloudly,7,Cloudly,4.7,N,57,0:38,Heavy wind,7.3,16.7,0,2,2
July,18/7/2022,0.4,light rainfall,7,Cloudly,6,Cloudly,3.1,SW,48,14:40,Heavy wind,4.3,10.6,1,2,2
July,19/7/2022,2,Medium rainfall,1,No Cloud (Sunny),1,No Cloud (Sunny),3.1,ESE,28,12:10,Light wind,2.5,11.1,2,0,1
July,20/7/2022,0.2,light rainfall,0,No Cloud (Sunny),1,No Cloud (Sunny),9,N,19,7:42,Light wind,-1.5,12.4,1,0,1
July,21/7/2022,0,no rainfall,4,Partial cloud,1,No Cloud (Sunny),9,N,26,4:46,Light wind,-0.2,15.5,0,0,1
July,22/7/2022,0,no rainfall,1,No Cloud (Sunny),7,Cloudly,6.4,NNE,48,12:26,Heavy wind,1.5,17.6,0,2,2
July,23/7/2022,0.2,light rainfall,8,Cloudly,7,Cloudly,0,NNE,44,14:08,Heavy wind,5.8,13.4,1,2,2
July,24/7/2022,6,Medium rainfall,1,No Cloud (Sunny),1,No Cloud (Sunny),9.3,N,48,5:41,Heavy wind,9.7,17.4,2,0,2
July,25/7/2022,0,no rainfall,7,Cloudly,7,Cloudly,2,NNE,57,15:05,Heavy wind,6.9,13.9,0,2,2
July,26/7/2022,4.6,Medium rainfall,6,Cloudly,7,Cloudly,1.9,WSW,72,15:21,Heavy wind,6,12.3,2,2,2
July,27/7/2022,1.8,light rainfall,6,Cloudly,7,Cloudly,4.7,W,44,14:22,Heavy wind,6.6,15.6,1,2,2
July,28/7/2022,0.8,light rainfall,6,Cloudly,7,Cloudly,5.3,SW,41,16:36,Heavy wind,6.6,13.2,1,2,2
July,29/7/2022,1.2,light rainfall,4,Partial cloud,3,Partial cloud,8,SSW,28,13:34,Light wind,4.2,12.3,1,1,1
July,30/7/2022,0,no rainfall,2,No Cloud (Sunny),1,No Cloud (Sunny),9.1,NNE,56,16:26,Heavy wind,-1.1,12.5,0,0,2
July,31/7/2022,0,no rainfall,7,Cloudly,7,Cloudly,1.4,NNE,72,10:32,Heavy wind,5.8,13.9,0,2,2
