time,Day,Year,Month,Date,hour,min,sec,timezone,latitude,longitude,speed,truck,svr1,svr2,svr3,svr4,Role,Transfer size,Transfer unit,Bitrate,bitrate_unit,Retransmissions,CWnd,cwnd_unit,Role-RX,Transfer size-RX,Transfer unit-RX,Bitrate-RX,bitrate_unit-RX,send_data
1658453796,,,,,,,,,,,,,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,
1658453797,Fri,2022.0,7.0,22.0,11.0,36.0,37.0,AEST,99.0,999.0,-1.0,garbo07,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1658453797,Fri,2022.0,7.0,22.0,11.0,36.0,37.0,AEST,99.0,999.0,-1.0,garbo07,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1658453798,Fri,2022.0,7.0,22.0,11.0,36.0,38.0,AEST,99.0,999.0,-1.0,garbo07,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1658453799,Fri,2022.0,7.0,22.0,11.0,36.0,39.0,AEST,99.0,999.0,-1.0,garbo07,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1658453800,Fri,2022.0,7.0,22.0,11.0,36.0,40.0,AEST,99.0,999.0,-1.0,garbo07,,,,,,,,,,,,,,,,,,0.0
1658453801,Fri,2022.0,7.0,22.0,11.0,36.0,41.0,AEST,99.0,999.0,-1.0,garbo07,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1658453802,Fri,2022.0,7.0,22.0,11.0,36.0,42.0,AEST,99.0,999.0,-1.0,garbo07,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1658453803,Fri,2022.0,7.0,22.0,11.0,36.0,43.0,AEST,99.0,999.0,-1.0,garbo07,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1658453804,Fri,2022.0,7.0,22.0,11.0,36.0,44.0,AEST,99.0,999.0,-1.0,garbo07,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1658453805,Fri,2022.0,7.0,22.0,11.0,36.0,45.0,AEST,99.0,999.0,-1.0,garbo07,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,0.0
1658453806,Fri,2022.0,7.0,22.0,11.0,36.0,46.0,AEST,99.0,999.0,-1.0,garbo07,15.4,17.6,12.1,33.5,,,,,,,,,,,,,,0.0
1658453807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1658453808,Fri,2022.0,7.0,22.0,11.0,36.0,48.0,AEST,99.0,999.0,-1.0,garbo07,13.4,27.2,21.5,33.8,,,,,,,,,,,,,,0.0
1658453809,Fri,2022.0,7.0,22.0,11.0,36.0,49.0,AEST,99.0,999.0,-1.0,garbo07,12.0,9.95,13.6,28.5,,,,,,,,,,,,,,0.0
1658453810,Fri,2022.0,7.0,22.0,11.0,36.0,50.0,AEST,99.0,999.0,-1.0,garbo07,13.0,15.1,19.8,30.0,,,,,,,,,,,,,,0.0
1658453811,Fri,2022.0,7.0,22.0,11.0,36.0,51.0,AEST,99.0,999.0,-1.0,garbo07,27.7,25.6,19.1,41.2,,,,,,,,,,,,,,0.0
1658453812,Fri,2022.0,7.0,22.0,11.0,36.0,52.0,AEST,99.0,999.0,-1.0,garbo07,10.4,14.0,12.7,23.8,,,,,,,,,,,,,,0.0
1658453813,Fri,2022.0,7.0,22.0,11.0,36.0,53.0,AEST,99.0,999.0,-1.0,garbo07,,,,,,,,,,,,,,,,,,0.0
